###########\n####  @#  #\n#### #    #\n####  $#  #\n# $.  .## #\n#   ###  $#\n#   ###  .#\n###########
ID: 84, State: C199EF0476968AE10966045F0D988EF5, Parent: 54, Action: L, Depth:8, Cost: 8.00, Heuristic: 4.00, Value: 12.00, Type:EXPANDED
ID: 98, State: 861E25C14DC8688426313D797B0C9998, Parent: 84, Action: u, Depth:9, Cost: 9.00, Heuristic: 4.00, Value: 13.00, Type:EXPANDED
ID: 137, State: 35C39AC671314806E726680139FD6A16, Parent: 98, Action: u, Depth:10, Cost: 10.00, Heuristic: 4.00, Value: 14.00, Type:EXPANDED
ID: 192, State: E15D8A55981A6523943D61FE0F30150C, Parent: 137, Action: r, Depth:11, Cost: 11.00, Heuristic: 4.00, Value: 15.00, Type:EXPANDED
ID: 272, State: AC19C876DCD516FE0A9F9ABAC70CA3F6, Parent: 192, Action: r, Depth:12, Cost: 12.00, Heuristic: 4.00, Value: 16.00, Type:EXPANDED
ID: 367, State: C0C91039FBA660C52ACEDF89DFDDA0A4, Parent: 272, Action: r, Depth:13, Cost: 13.00, Heuristic: 4.00, Value: 17.00, Type:EXPANDED
ID: 482, State: FF4E95AA602735F3DEC593B191BAD196, Parent: 367, Action: r, Depth:14, Cost: 14.00, Heuristic: 4.00, Value: 18.00, Type:EXPANDED
ID: 620, State: 433C6931655F284595BBF63E05A1CEF7, Parent: 482, Action: U, Depth:15, Cost: 15.00, Heuristic: 3.00, Value: 18.00, Type:EXPANDED
ID: 714, State: 87B53D097ADD1983FCE86ACB01548299, Parent: 620, Action: U, Depth:16, Cost: 16.00, Heuristic: 2.00, Value: 18.00, Type:EXPANDED
ID: 717, State: C6CC79E1BED9C8CAD59550DB138EE173, Parent: 714, Action: R, Depth:17, Cost: 17.00, Heuristic: 3.00, Value: 20.00, Type:EXPANDED
ID: 888, State: 3B3D6459171C6EF08F4E2D17B8C94320, Parent: 717, Action: R, Depth:18, Cost: 18.00, Heuristic: 4.00, Value: 22.00, Type:EXPANDED
ID: 1236, State: 2A579D52FF0776AC67B295BE5180D2EB, Parent: 888, Action: u, Depth:19, Cost: 19.00, Heuristic: 4.00, Value: 23.00, Type:EXPANDED
ID: 1409, State: 6BEE6FDEE2104A5D2528B01283766E5A, Parent: 1236, Action: r, Depth:20, Cost: 20.00, Heuristic: 4.00, Value: 24.00, Type:EXPANDED
ID: 1607, State: 5D8AF4B85609DD496F4E90E0609DFF7D, Parent: 1409, Action: D, Depth:21, Cost: 21.00, Heuristic: 3.00, Value: 24.00, Type:EXPANDED
ID: 1803, State: 1AEBB96787540247100B94DEA722DCB1, Parent: 1607, Action: D, Depth:22, Cost: 22.00, Heuristic: 2.00, Value: 24.00, Type:EXPANDED
ID: 1822, State: EB232AEB7E8E3FE3D270CA0973937D0F, Parent: 1803, Action: D, Depth:23, Cost: 23.00, Heuristic: 1.00, Value: 24.00, Type:EXPANDED
ID: 1825, State: F151B811064D45D7769EF051723DA628, Parent: 1822, Action: D, Depth:24, Cost: 24.00, Heuristic: 0.00, Value: 24.00, Type:TARGET

###########\n#### @.#  #\n#### # $  #\n####  $#  #\n#      ## #\n#   ###   #\n#.$ ###  .#\n###########
ID: 0, State: CC2F1ACAAFA16D458D6BA85E81CB90E1, Parent: None, Action: NOTHING, Depth:0, Cost: 0.00, Heuristic: 5.00, Value: 5.00, Type:EXPANDED
ID: 2, State: 22DD69830093F97451E6255DC5470E38, Parent: 0, Action: l, Depth:1, Cost: 1.00, Heuristic: 5.00, Value: 5.00, Type:EXPANDED
ID: 6, State: A53E99E751815E6A89DADC3978658031, Parent: 2, Action: d, Depth:2, Cost: 2.00, Heuristic: 5.00, Value: 5.00, Type:EXPANDED
ID: 11, State: D75A5F124F8ABCDB3EF654A69211BB07, Parent: 6, Action: d, Depth:3, Cost: 3.00, Heuristic: 5.00, Value: 5.00, Type:EXPANDED
ID: 13, State: 7952A69DC654587F5A07E3F4DB9D10AF, Parent: 11, Action: r, Depth:4, Cost: 4.00, Heuristic: 5.00, Value: 5.00, Type:EXPANDED
ID: 15, State: 7CF0F0E4625F41B3DC96602331219999, Parent: 13, Action: d, Depth:5, Cost: 5.00, Heuristic: 5.00, Value: 5.00, Type:EXPANDED
